Site,Zone,Time,Tide,Species,Number,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?,,
GC,2,C- 6:00,high,TSWAP,3,Zone 2,1,1,,,,V,,
GC,2,C- 3:00,high,BSWAL,3,Zone 2,1,1,,,,V,,
GC,2,C- 1:00,high,BBG,1,Zone 2,1,,,,,V,,
GC,2,D- 9:00,high,BSWAL ,1,Zone 2,1,1,,,,V,,
GC,2,D- 9:00,high,TSWAL,3,Zone 2,1,1,,,,V,,
GC,2,D- 4:00,high,BSWAL,2,Zone 2,1,1,,,,V,,
GC,2,E- 10:30,high,BBG,1,Zone 2,,,,,,V,,
GC,2,E- 10:15,high,PPLOV,1,Zone 2,,,,,,V,,
PI,1,Zone A 4:14,high,TSWAL,1,,,,,,,,,
PI,1,Zone A 4:15,high,TSWAL,1,Creek,1,,,,,V,,
PI,1,Zone C 6:01,high,BSWAL,1,Creek,1,,,,,V,,
PI,1,Zone C 6:00,high,SPPLOV,1,Creek,1,,,,,V,,
PI,1,,high,SPPLOV,1,Creek,1,,,,,V,,
PI,3,H- 10:00,low,EGR,1,R of T12,,,1,,,V,,
PI,3,,low,BSWAL,1,Creek,,,,,,V,,
PI,3,,low,SM SPATR,1,T12 Q1,1,,1,,,V/C,,
PI,3,,low,BSWAL,2,Z3,1,,,,,V,,
PI,3,G- 10:00,low,SSP,1,Mosq ditch T9,,,1,,,V,,
PI,3,,low,BSWAL,2,T10,1,1,,,,V,,
PI,3,,low,TSWAL,2,On wire back of Z3,,,1,,,V,,
PI,3,,low,TSWAL,2,Z3,1,1,,,,V,,
PI,3,F-10:00,low,TSWAL,1,Creek,1,1,,,,V,,
PI,3,,low,TSWAL,1,T12,1,1,,,,V,,
PI,3,,low,LSPIP,2,T9Q1,1,1,,,,V,,
PI,3,,low,LSPIP,1,T10Q1,,1,,,,V,,
PI,2,F- 10:00,low,BSWAL,2,Z2,1,1,,,V,,,
PI,2,,low,BSWAL,2,,1,1,,,V,,,
PI,2,E- 10:00,low,LSPIP,1,T8Q1,,1,,,V,,,
PI,2,,low,LSPIP,2,Creek (T6),,,1,,,,,
PI,2,,low,TWOHEE,1,Creek (T5),,,,,,,,
PI,2,F- 8:40,high,CHIC,1,Trees,,,,,C,,,
PI,2,F- 4:15,high,LSPIP,3,t6,,,1,,V,,,
PI,2,D- 9:15,high,LSPIP,1,Bank,,,1,,V,,,
